City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
151,Road Town,VG,2022-07-19 17:57:50,18.4167,-64.6167,86.04,70,20,9.22
152,Keighley,GB,2022-07-19 18:01:49,53.8679,-1.9066,89.71,37,0,13.8
153,Tezu,IN,2022-07-19 18:01:38,27.9167,96.1667,76.12,99,100,3.2
154,Mount Gambier,AU,2022-07-19 18:01:49,-37.8333,140.7667,34.83,93,0,4.88
155,Kahului,US,2022-07-19 17:58:48,20.8947,-156.47,71.96,88,11,13.65
156,Manyana,BW,2022-07-19 18:01:50,-23.4,21.7167,58.17,39,11,7.52
157,Boralday,KZ,2022-07-19 18:01:50,43.3578,76.8594,69.66,43,20,4.47
158,Snasa,NO,2022-07-19 18:01:51,64.2457,12.3778,58.41,70,98,3.27
159,Te Anau,NZ,2022-07-19 18:01:51,-45.4167,167.7167,41.29,97,100,3.42
160,Dalbandin,PK,2022-07-19 18:01:51,28.8947,64.4101,88.14,52,94,16.71
161,Salamanca,ES,2022-07-19 18:01:52,40.8333,-6.0,84.61,23,0,13.22
162,Clinton,US,2022-07-19 17:58:51,42.587,-82.9199,93.96,58,1,5.01
163,Arsenyev,RU,2022-07-19 18:01:52,44.1631,133.2733,62.31,98,49,2.33
164,Port Elizabeth,ZA,2022-07-19 18:01:53,-33.918,25.5701,59.31,99,63,3.0
165,San Jose,US,2022-07-19 17:56:57,37.3394,-121.895,86.45,56,0,5.75
166,Mount Isa,AU,2022-07-19 18:01:53,-20.7333,139.5,56.97,47,0,11.5
167,Chernyshevskiy,RU,2022-07-19 18:01:53,63.0128,112.4714,51.87,94,6,4.41
168,Qaanaaq,GL,2022-07-19 18:01:27,77.484,-69.3632,43.47,66,6,3.65
169,Sambava,MG,2022-07-19 18:01:54,-14.2667,50.1667,69.39,83,40,16.06
170,Harper,LR,2022-07-19 18:01:54,4.375,-7.7169,76.15,70,99,8.46
171,Juneau,US,2022-07-19 17:58:24,58.3019,-134.4197,58.21,96,100,3.58
172,Mega,ET,2022-07-19 18:01:54,4.05,38.3,60.75,66,99,14.45
173,Jalu,LY,2022-07-19 18:01:55,29.0331,21.5482,89.01,19,3,9.19
174,Kulhudhuffushi,MV,2022-07-19 18:01:55,6.6221,73.07,80.78,81,98,18.52
