City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
551,Shimoda,JP,77.11,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
552,Nishihara,JP,83.48,broken clouds,26.1842,127.7558,Minshuku Agaihama
554,Veraval,IN,80.33,scattered clouds,20.9,70.3667,Lords Inn Somnath
555,Bodden Town,KY,89.6,scattered clouds,19.2833,-81.25,Will T Place
556,Koulamoutou,GA,77.74,overcast clouds,-1.1303,12.4736,Motel Bouenguidi
558,Sarankhola,BD,80.67,overcast clouds,22.3082,89.7897,Red Crescent Cyclone Shelter Rashulpur
561,Obera,AR,80.82,clear sky,-27.4871,-55.1199,CABAÑAS DORALIA
564,Nobeoka,JP,77.97,overcast clouds,32.5833,131.6667,En City Hotel Nobeoka
565,Plaster Rock,CA,77.95,clear sky,46.9065,-67.39,Settler's Inn and Motel
570,Mbini,GQ,76.15,overcast clouds,1.574,9.6134,
572,Oranjestad,AW,85.95,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
573,Puerto Colombia,CO,89.69,broken clouds,10.9878,-74.9547,Hotel El Emigrante
575,Calama,CL,75.69,scattered clouds,-22.4667,-68.9333,Park Hotel Calama
578,Savannah Bight,HN,82.87,few clouds,16.45,-85.85,Villa on Dunbar Rock
580,Kirakira,SB,79.07,broken clouds,-10.4544,161.9205,SanBiz Lodge
581,Paraiso,CR,76.06,overcast clouds,9.8383,-83.8656,Hotel Rinconcito Verde
582,Dubrovnik,HR,82.04,clear sky,42.6481,18.0922,Hotel Dubrovnik Palace
583,Papara,BR,85.96,scattered clouds,-3.9839,-38.7273,Bela vista Maranguape
584,Goderich,CA,84.9,overcast clouds,43.7501,-81.7165,Harmony Inn
587,Auki,SB,75.61,overcast clouds,-8.7676,160.7034,Auki Motel
588,Gushikawa,JP,83.43,overcast clouds,26.3544,127.8686,Kirari Guest House
589,Trat,TH,82.81,overcast clouds,12.5,102.5,สวนหนิง-อัศ
591,Kutum,SD,77.92,light rain,14.2,24.6667,Dibbo areaمنطقة دبو
592,Ternate,ID,80.47,light rain,0.8,127.4,Sahid Bela Ternate Hotel
593,Herat,AF,84.4,clear sky,34.5,62.0,
596,Caravelas,BR,75.56,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
599,Okara,PK,86.23,broken clouds,30.8081,73.4458,Ali mobile al aziz palaza Shop #6 Venus chows Okara
603,Kimbe,PG,75.78,light rain,-5.5502,150.1429,Kimbe Bay Hotel
608,Anloga,GH,75.45,few clouds,5.7947,0.8973,Pin Drop Hotel
609,Maceio,BR,76.44,overcast clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
614,Twin Falls,US,88.14,clear sky,42.3505,-114.6445,
618,Atasu,KZ,80.55,overcast clouds,48.6814,71.6433,Dostyk
622,Toronto,CA,88.36,broken clouds,43.7001,-79.4163,Furnished Apartments at Yonge & Eglinton by Canvas
625,Fayaoue,NC,76.66,overcast clouds,-20.65,166.5333,Chez Dydyce Guesthouse
626,Gat,IL,82.81,clear sky,31.61,34.7642,OlusHome
637,Yacuiba,BO,77.77,overcast clouds,-22.038,-63.6797,Hotel Monumental
640,Pemberton,CA,80.29,clear sky,50.3164,-122.8027,Pemberton Valley Lodge
652,Negombo,LK,80.65,scattered clouds,7.2083,79.8358,Hotel Sunset Beach
655,Libourne,FR,77.5,clear sky,44.9167,-0.25,Hôtel Mercure Libourne Saint-Émilion
656,Muros,ES,79.68,clear sky,42.7762,-9.0603,Apartment Av. Castelao
657,Baft,IR,77.09,clear sky,29.234,56.6057,Paeez Hotel & restaurant
660,The Valley,AI,87.66,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
661,Maanshan,CN,78.85,light rain,31.6957,118.4983,天目湖酒店
663,Torrevieja,ES,88.59,clear sky,37.9787,-0.6822,Hotel Fontana Plaza
665,Perbaungan,ID,75.31,overcast clouds,3.5679,98.956,Bendang Lama
668,Tarakan,ID,76.5,broken clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
677,Itoman,JP,84.22,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
678,Maragogi,BR,76.35,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
681,Ravar,IR,88.0,clear sky,31.2656,56.8055,computertik
683,Nedelino,BG,75.22,clear sky,41.45,25.0833,Panorama Family Hotel
687,Dachau,DE,87.22,light rain,48.26,11.434,Altstadthotel Zieglerbräu
691,Praia Da Vitoria,PT,76.75,scattered clouds,38.7333,-27.0667,Hotel Branco I
693,Tuy Hoa,VN,75.72,moderate rain,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
